"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1671257",1.05565459598768,10.5097806823247,19.5025914339206,1.26984735959945e-47,1.62300220636373e-44,97.759523863652,"DKC1","dyskerin pseudouridine synthase 1"
"ILMN_1678816",-1.17027446508625,7.4494942628866,-19.4265618164915,2.09950389073838e-47,2.61277734192153e-44,97.2611105127571,"GREM2","gremlin 2, DAN family BMP antagonist"
"ILMN_1796685",-2.1287500644601,8.15569048054124,-19.341643881756,3.68416613842193e-47,4.46728760733264e-44,96.7036561063425,"BEST4","bestrophin 4"
"ILMN_1721128",1.44551643187579,9.24939400780928,19.3055175058334,4.68104543984951e-47,5.53416597126208e-44,96.4662537015421,"TOMM34","translocase of outer mitochondrial membrane 34"
"ILMN_3247821",0.769218378500496,7.67490796502577,19.2646816998085,6.13732945384711e-47,7.07888560664463e-44,96.1977272658959,"PACC1","proton activated chloride channel 1"
"ILMN_1677509",0.73305648006205,6.98485373747938,19.2440571277406,7.03757876236081e-47,7.92397856362007e-44,96.0620341221771,"PRR7","proline rich 7, synaptic"
"ILMN_2338323",1.62738954507681,9.44865575473711,19.1937577783746,9.8283361880825e-47,1.08088841473121e-43,95.7309057372894,"CDC25B","cell division cycle 25B"
"ILMN_1705814",1.53930771598268,7.23716981754639,19.0730903395302,2.19258516327866e-46,2.35653073571472e-43,94.9353884546197,"KRT80","keratin 80"
"ILMN_1656285",-1.77950464940182,9.47719441659278,-19.0145012383029,3.23894060498041e-46,3.38553123448824e-43,94.5485523016931,"TMT1A","thiol methyltransferase 1A"
"ILMN_1786396",-1.17134822863636,8.91235886602577,-19.0120086686872,3.29317903967983e-46,3.38553123448824e-43,94.5320866896456,"ZZEF1","zinc finger ZZ-type and EF-hand domain containing 1"
"ILMN_1677765",1.22518979855301,7.37921170553608,18.9973144180245,3.63194850242658e-46,3.65435839744156e-43,94.4350044304476,"LRP8","LDL receptor related protein 8"
"ILMN_1714730",1.92337989469719,9.4168115022835,18.9881856183822,3.85978383477566e-46,3.80269119888627e-43,94.3746802049773,"UBE2C","ubiquitin conjugating enzyme E2 C"
"ILMN_1663866",1.56375653180642,11.8295572567423,18.9615128934556,4.6109388907042e-46,4.38125715416362e-43,94.1983714181532,"TGFBI","transforming growth factor beta induced"
"ILMN_1712628",1.09825768820091,7.61851341415464,18.9608188012961,4.63232940808164e-46,4.38125715416362e-43,94.1937823786335,"GTF2IRD1","GTF2I repeat domain containing 1"
"ILMN_1808591",1.3394455802008,9.06152524934536,18.8995480115123,6.97149029121881e-46,6.46434854650466e-43,93.7884796152572,"UBE2S","ubiquitin conjugating enzyme E2 S"
"ILMN_2285817",1.04372627427062,8.16048319047423,18.8941053618545,7.22942198891557e-46,6.57460318953495e-43,93.7524570818406,"FAM89A","family with sequence similarity 89 member A"
"ILMN_1657862",1.10760237680087,11.1032500620258,18.8853513666746,7.66449958343735e-46,6.83875821322174e-43,93.6945114577292,"AHCY","adenosylhomocysteinase"
"ILMN_2224907",-1.13861151449329,10.7828559074639,-18.8752877384292,8.19719725115924e-46,7.17861959272816e-43,93.6278866813443,"SMIM14","small integral membrane protein 14"
"ILMN_1809291",-1.77994013072461,8.93270905239175,-18.8722715863042,8.36396591888122e-46,7.19148996916169e-43,93.6079165536729,"TSPAN7","tetraspanin 7"
"ILMN_1705210",-0.703235287955604,7.29747461340206,-18.8439548821847,1.01053503493063e-45,8.53360746461953e-43,93.4203819821829,"TAMALIN","trafficking regulator and scaffold protein tamalin"
"ILMN_1781454",0.95937035325097,8.73721655315464,18.8066333105771,1.29678341686941e-45,1.05732565144404e-42,93.1730782991414,"RAE1","ribonucleic acid export 1"
"ILMN_2121774",-4.54371625903462,11.2395798434175,-18.8091446621346,1.27519589227529e-45,1.05732565144404e-42,93.1897239557056,"ZG16","zymogen granule protein 16"
"ILMN_1796589",1.37178632692008,8.07472399648969,18.7686336832116,1.67192551001994e-45,1.34009080286175e-42,92.9211277952288,"TRIP13","thyroid hormone receptor interactor 13"
"ILMN_3249142",-4.52654100507969,11.1331142605206,-18.7497123061651,1.89752920584028e-45,1.49556926906978e-42,92.7956148950545,"ZG16","zymogen granule protein 16"
"ILMN_2120695",-2.16633017913986,10.0337601438196,-18.7344376392933,2.10173164516735e-45,1.6293588442617e-42,92.6942641278495,"TSPAN7","tetraspanin 7"
"ILMN_1812581",-1.40203201602797,7.58945459992784,-18.7220550355655,2.28333373859327e-45,1.74159439513026e-42,92.6120845542578,"RNF14","ring finger protein 14"
"ILMN_3236694",0.705496532506162,7.11534322393814,18.7073619960364,2.51933680135941e-45,1.89110217994106e-42,92.5145501158007,"LOC100133920","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene"
"ILMN_2301083",1.9507740881786,9.59444593076804,18.7002843670311,2.6415960262153e-45,1.95189181374565e-42,92.467559626762,"UBE2C","ubiquitin conjugating enzyme E2 C"
"ILMN_1761445",-1.86065791282561,7.98231616473196,-18.5770953264904,6.03163489492843e-45,4.38824637201793e-42,91.6488205598095,"TPBGL","trophoblast glycoprotein like"
"ILMN_1652431",-4.82533838454046,10.5079883395309,-18.5174600274287,9.00038758713837e-45,6.44891407569354e-42,91.2518984308143,"CA1","carbonic anhydrase 1"
"ILMN_1686906",-1.29945006777301,8.80456127543814,-18.5040969149526,9.84541478594566e-45,6.94909948100552e-42,91.1629048856361,"TP53INP2","tumor protein p53 inducible nuclear protein 2"
"ILMN_1769644",-1.83749378846054,7.97217242463402,-18.4883888342918,1.09409728973067e-44,7.60880306343581e-42,91.0582708908599,NA,NA
